card_id;marka_auto;model_auto;kuzov_pokolenie;product_name;name_model_len;price_model;catalog;file_name;path;;;;
1;BMW;X5;Е70 [2006-2013];"Светодиодные линзы для фар BMW Х5 Е70 [2006-2013] би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";"Светодиодные би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";10900;cards_auto/BMW/X5/E70_2006-2013/;svetodiodnyie-inzyi-dlya-far-bmw-x5-e70-2006-2013-bi-led-moduli-orionlight-neptun-3-12V-5000K-51W-58W.jpeg;./cards_auto/BMW/X5/E70_2006-2013/svetodiodnyie-inzyi-dlya-far-bmw-x5-e70-2006-2013-bi-led-moduli-orionlight-neptun-3-12V-5000K-51W-58W.jpeg;;;;
1;BMW;X5;Е70 [2006-2013];"Светодиодные линзы для фар BMW Х5 Е70 [2006-2013] би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";13900;cards_auto/BMW/X5/E70_2006-2013/;svetodiodnyie-linzyi-dlya-far-bmw-x5-e70-2006-2013-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;./cards_auto/BMW/X5/E70_2006-2013/svetodiodnyie-linzyi-dlya-far-bmw-x5-e70-2006-2013-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;;;;
1;BMW;X5;Е70 [2006-2013];"Светодиодные линзы для фар BMW Х5 Е70 [2006-2013] би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";13900;cards_auto/BMW/X5/E70_2006-2013/;svetodiodnyie-linzyi-dlya-far-bmw-x5-e70-2006-2013-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;./cards_auto/BMW/X5/E70_2006-2013/svetodiodnyie-linzyi-dlya-far-bmw-x5-e70-2006-2013-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;;;;
1;BMW;X5;Е70 [2006-2013];"Светодиодные линзы для фар BMW Х5 Е70 [2006-2013] би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";"Светодиодные би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";12900;cards_auto/BMW/X5/E70_2006-2013/;svetodiodnyie-linzyi-dlya-far-bmw-x5-e70-2006-2013-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;./cards_auto/BMW/X5/E70_2006-2013/svetodiodnyie-linzyi-dlya-far-bmw-x5-e70-2006-2013-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;;;;
2;BMW;X6;II (F16) [2014-2020];"Светодиодные линзы для фар BMW X6 II (F16) [2014-2020] HiBeam би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";"Светодиодные би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";10900;cards_auto/BMW/X6/II_(F16)_2014-2020/;svetodiodnyie-linzyi-dlya-far-bmw-x6-ii-(f16)-2014-2020-hibeam-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;./cards_auto/BMW/X6/II_(F16)_2014-2020/svetodiodnyie-linzyi-dlya-far-bmw-x6-ii-(f16)-2014-2020-hibeam-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;;;;
2;BMW;X6;II (F16) [2014-2020];"Светодиодные линзы для фар BMW X6 II (F16) [2014-2020] HiBeam би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";13900;cards_auto/BMW/X6/II_(F16)_2014-2020/;svetodiodnyie-linzyi-dlya-far-bmw-x6-ii-(f16)-2014-2020-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;./cards_auto/BMW/X6/II_(F16)_2014-2020/svetodiodnyie-linzyi-dlya-far-bmw-x6-ii-(f16)-2014-2020-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;;;;
2;BMW;X6;II (F16) [2014-2020];"Светодиодные линзы для фар BMW X6 II (F16) [2014-2020] HiBeam би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";13900;cards_auto/BMW/X6/II_(F16)_2014-2020/;svetodiodnyie-linzyi-dlya-far-bmw-x6-ii-(f16)-2014-2020-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;./cards_auto/BMW/X6/II_(F16)_2014-2020/svetodiodnyie-linzyi-dlya-far-bmw-x6-ii-(f16)-2014-2020-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;;;;
2;BMW;X6;II (F16) [2014-2020];"Светодиодные линзы для фар BMW X6 II (F16) [2014-2020] HiBeam би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";"Светодиодные би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";12900;cards_auto/BMW/X6/II_(F16)_2014-2020/;svetodiodnyie-linzyi-dlya-far-bmw-x6-ii-(f16)-2014-2020-hibeam-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;./cards_auto/BMW/X6/II_(F16)_2014-2020/svetodiodnyie-linzyi-dlya-far-bmw-x6-ii-(f16)-2014-2020-hibeam-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;;;;
3;BMW;3 Series;F30 [2011-2015];"Светодиодные линзы для фар BMW 3 Series F30 [2011-2015] ZKW би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";"Светодиодные би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";10900;cards_auto/BMW/3 Series/F30_2011-2015/;svetodiodnyie-linzyi-dlya-far-bmw-3-series-f30-2011-2015-zkw-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;./cards_auto/BMW/3 Series/F30_2011-2015/svetodiodnyie-linzyi-dlya-far-bmw-3-series-f30-2011-2015-zkw-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;;;;
3;BMW;3 Series;F30 [2011-2015];"Светодиодные линзы для фар BMW 3 Series F30 [2011-2015] ZKW би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";13900;cards_auto/BMW/3 Series/F30_2011-2015/;svetodiodnyie-linzyi-dlya-far-bmw-3-series-f30-2011-2015-zkw-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;./cards_auto/BMW/3 Series/F30_2011-2015/svetodiodnyie-linzyi-dlya-far-bmw-3-series-f30-2011-2015-zkw-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;;;;
